,Agent,Dateofbirth,Latesttransfer,CIESvalue,TMvalue,Totaltransfers,Timeinyouthteam,Goalkicks,Dominantfoot,Position,Maincompetition,Salary,Startofcontract,Contractexpiration,Previousclub,Releaseclause,Saves,Dribble,Defender,Transfers,Offthebench,Altura,Ageinlastgame,Previouscompetition,Currentclub,Ageondebut,Countryofbirth,ELO,Market value,Othershirtnumbers,Tempo,Placeofbirth,Timescalledup,Nacionalidad(es),Physical,Pass,Placement,Mostcommonshirtnumber,Matchesasastarter,Shot,Stretch,Debut,Reflexes,Liga,Lastmatch,Marketvalue,Jump,Provider,Latestrenewal,Potential,Regionofbirth,Edad,Continentofbirth
Ciro Immobile,GeaWorld,20February1990,,15M€,23M€,,"TorreAnnunziata'88(1996-2001),Salernitana&MariaRosaSalerno(2001/02)",,Right,STR(Striker),SerieA,6.3M€annual,27-07-2016,30-06-2026,Torino,,,81,48,transfer,,185,,SerieA,Lazio,,Italy,89,23.9,"9,11,40,90,10,12",83,TorreAnnunziata,,Italy,79,63,,17,,74,,,,SerieA,,23.9M€,,Adidas,,92,EuropadelSur,32,Europe
Felipe Anderson,Conquest,15April1993,,20M€,15M€,,"AstralEC(2006–2007),CoritibaFC(2007),SantosFC(2007-2010)",,Right,STR(Striker),SerieA,3.2M€annual,16-07-2021,30-06-2024,Porto,,,84,56,transfer,,178,,PrimeiraLiga,Lazio,,Brazil,82,25.4,"10,8,28,17,23,4",85,Brasília,,Brazil,63,77,,7,,75,,,,SerieA,,25.4M€,,Adidas,,85,Sudamérica,29,AmericadelSur
Pedro,BahíaInternacional,28July1987,,4M€,2.5M€,,"CDSanIsidro(2003–2004),FCBarcelona(2004-2008)",,Two-Footed,STR(Striker),SerieA,3.2M€annual,01-09-2020,30-06-2023,Roma,,,81,45,transfer,,169,,SerieA,Lazio,,Spain,79,1.9,"17,7,9,27,18,33",74,SantaCruzdeTenerife,,Spain,66,78,,11,,72,,,,SerieA,,1.9M€,,Nike,,84,EuropadelSur,35,Europe
M. Zaccagni,M.A.R.A.T.FootballManagement,16June1995,,25M€,22M€,,Bellaria,,Right,STR(Striker),SerieA,2.1M€annual,31-08-2021,30-06-2025,HellasVerona,,,79,55,transfer,,177,,SerieA,Lazio,,Italy,79,26.4,"7,35,10,23",77,Bellaria,,Italy,68,74,,20,,63,,,,SerieA,,26.4M€,,,,82,EuropadelSur,27,Europe
D. Gonzalez,,07January2003,,,,,,,Left,STR(Striker),SerieA,,,,Celaya,,,,,transfer,,0,,LigadeExpansiónMX-Clausura,Lazio,,,56,,"7,11",,,,Paraguay,,,,33,,,,,,SerieA,,,,,,71,,20,
M. Cancellieri,MM-Management,12February2002,,4M€,5M€,,,,Left,STR(Striker),SerieA,886.1k€annual,,30-06-2024,HellasVerona,,,,,transfer,,173,,SerieA,Lazio,,Italy,46,3.9,"18,15,19",,Rome,,Italy,,,,11,,,,,,SerieA,,3.9M€,,,,62,EuropadelSur,20,Europe
Luka Romero,LIANSportsGroup,18November2004,,3M€,1M€,,,,Left,STR(Striker),SerieA,,,30-06-2023,LazioSub19,,,,,transfer,,165,,CampionatoPrimavera2,Lazio,,Mexico,39,1.4,"7,29,8,41,17,10,16",,Durango,,Argentina,,,,18,,,,,,SerieA,,1.4M€,,Nike,,62,CentralAmerica,18,AmericadelNorte
J. Musso,WorldSoccerAgency,06May1994,,15M€,16M€,,RacingClubdeAvellaneda,76,Right,GOA(Goalkeeper),SerieA,1.9M€annual,02-07-2021,30-06-2025,Udinese,,78,,,transfer,,191,,SerieA,Atalanta,,Argentina,81,12.8,"12,33,28,23,22",,SanNicolásdelosArroyos,,Argentina,,,82,1,,,82,,86,SerieA,,12.8M€,51,,,84,Sudamérica,28,AmericadelSur
M. Sportiello,GrSports,10May1992,,1M€,1.5M€,,Atalanta,68,Right,GOA(Goalkeeper),SerieA,1.5M€annual,22-06-2012,30-06-2023,Frosinone,,74,,,transfer,,185,,SerieB,Atalanta,,Italy,62,1.5,37,,Desio,,Italy,,,76,57,,,76,,78,SerieA,,1.5M€,68,Nike,,76,EuropadelSur,30,Europe
F. Rossi,,27April1991,,,,,Atalanta,62,Right,GOA(Goalkeeper),SerieA,239k€annual,01-08-2009,30-06-2023,Teramo,,60,,,transfer,,192,,LegaPro,Atalanta,,Italy,32,0.1,1,,Merate,,Italy,,,58,31,,,62,,60,SerieA,,,55,,,57,EuropadelSur,31,Europe
Joakim Mæhle,BoutiqueTransfers,20May1997,,,14M€,,"ØstervråIF,AalborgBK",,Right,DF(Defender),SerieA,1.7M€annual,04-01-2021,30-06-2026,Genk,,,76,59,transfer,,185,,BelgianProLeague,Atalanta,,Denmark,82,27.2,"3,5,15",91,Østervrå,,Denmark,79,69,,31,,55,,,,SerieA,,27.2M€,,,,85,PaísesNórdicos,25,Europe
R. Toloi,MadeiraSports,10October1990,,5M€,8M€,,Goiás(2007-09),,Right,DF(Defender),SerieA,2.2M€annual,26-08-2015,30-06-2024,SãoPaulo,,,63,58,transfer,,185,,BrazilianSerieA,Atalanta,,Brazil,81,9.5,"3,4,25,6",64,GlóriadOeste,,Italy,72,54,,2,,56,,,,SerieA,,9.5M€,,Puma,,84,Sudamérica,32,AmericadelSur
B. Djimsiti,SoccerMondialAG,19February1993,,15M€,13M€,,"FCZürich-Affoltern(bis2007),FCZürich(2007-2012)",,Right,DF(Defender),SerieA,2.1M€annual,18-01-2016,30-06-2026,Benevento,,,54,58,transfer,,190,,SerieB,Atalanta,,Switzerland,79,15.1,"5,6,55,26,4",69,Zürich,,Albania,65,57,,19,,37,,,,SerieA,,15M€,,,21-03-2022,85,EuropaOccidental,29,Europe
M. Demiral,CenkMelihYazıcı,05March1998,01-07-2022,30M€,25M€,52M€,"KaramürselIdmanYurduSpor(2009-2011),FenerbahceSK(2011-2016)",,Two-Footed,DF(Defender),SerieA,3.1M€annual,05-07-2019,,Juventus,,,62,55,19transfers,,190,,SerieA,Atalanta,,Turkey,78,21.2,"3,98,4,15,5,14",73,Kocaeli,,Turkey,71,47,,28,,42,,,,SerieA,,21.2M€,,,,82,OrienteMedio,24,Europe
J. Palomino,,05January1990,,,,,,,Left,DF(Defender),SerieA,,,,Ludogorets,,,56,52,,,186,,APFG,Atalanta,,Argentina,77,3.7,"27,5,14,4",50,SanMigueldeTucumán,,Argentina,64,54,,6,,40,,,,SerieA,,,,,,81,Sudamérica,33,AmericadelSur
H. Hateboer,KeyUnited,09January1994,,6M€,10M€,,"THOS,BVVeendam,FCGroningen",,Right,DF(Defender),SerieA,2.2M€annual,31-01-2017,30-06-2024,Groningen,,,77,63,transfer,,185,,Eredivisie,Atalanta,,Netherlands,77,12.9,"2,3,28,13,15,12",84,Beerta,,Netherlands,76,70,,33,,54,,,,SerieA,,12.9M€,,Nike,,85,EuropaOccidental,29,Europe
