,Agent,Dateofbirth,Latesttransfer,CIESvalue,TMvalue,Totaltransfers,Timeinyouthteam,Goalkicks,Dominantfoot,Position,Maincompetition,Salary,Startofcontract,Contractexpiration,Previousclub,Releaseclause,Saves,Dribble,Defender,Transfers,Offthebench,Altura,Ageinlastgame,Previouscompetition,Currentclub,Ageondebut,Countryofbirth,ELO,Market value,Othershirtnumbers,Tempo,Placeofbirth,Timescalledup,Nacionalidad(es),Physical,Pass,Placement,Mostcommonshirtnumber,Matchesasastarter,Shot,Stretch,Debut,Reflexes,Liga,Lastmatch,Marketvalue,Jump,Provider,Latestrenewal,Potential,Regionofbirth,Edad,Continentofbirth
Ter Stegen,ROOF,30April1992,,40M€,30M€,,BorussiaMönchengladbach(1996-2010),88,Right,GOA(Goalkeeper),LaLiga,10.8M€annual,01-07-2014,30-06-2025,B.Mönchengladbach,350M€,85,,,transfer,,187,,Bundesliga,Barcelona,,Germany,85,23.8,"22,21",,Mönchengladbach,,Germany,,,88,1,,,88,,90,Liga Española,,23.8M€,79,Adidas,20-10-2020,87,EuropaOccidental,30,Europe
Iñaki Peña,INTEGRALADVISINGFOOTBALLS.L,02March1999,,2M€,4M€,,"AlicanteCF(2004-2009),VillarrealCF(2009-2012),FCBarcelona(2012-2018)",67,Right,GOA(Goalkeeper),LaLiga,779.2k€annual,27-07-2020,30-06-2023,GalatasaraySK,,64,,,transfer,,184,,TurkishSüperLig,Barcelona,,Spain,54,2.6,"13,1,25,30,23",,Alicante,,Spain,,,65,26,,,66,,69,Liga Española,,2.5M€,64,Nike,,68,EuropadelSur,23,Europe
Arnau Tenas,"Puyol,DelaPeña&Sostres",30May2001,,1M€,1.5M€,,,,Right,GOA(Goalkeeper),LaLiga,193.4k€annual,01-07-2020,30-06-2023,BarçaAtlètic,,,,,transfer,,185,,PrimeraDivisiónRFEF,Barcelona,,Spain,54,1.7,"1,13,25,31,24",,Vic,,Spain,,,,36,,,,,,Liga Española,,1.7M€,,,27-06-2020,67,EuropadelSur,21,Europe
Ander Astralaga,,03March2004,,,,,,,Right,GOA(Goalkeeper),LaLiga,,,,BarçaAtlètic,,,,,,,190,,PrimeraDivisiónRFEF,Barcelona,,Spain,50,,"31,34,13",,Berango,,Spain,,,,1,,,,,,Liga Española,,,,,,74,EuropadelSur,18,Europe
Jules Koundé,ESN,12November1998,,,60M€,,"FraternelledeLandiras(2004-2008),Cérons(2008-2010),FCLaBrède(2010-2013)",,Right,DF(Defender),LaLiga,2.6M€annual,03-07-2019,30-06-2027,Sevilla,,,73,63,transfer,,178,,LaLiga,Barcelona,,France,84,62.4,"23,4,5,25,31,3,11,38",79,Paris,,France,80,61,,12,,38,,,,Liga Española,,62.4M€,,Puma,,87,EuropaOccidental,24,Europe
Jordi Alba,InterStarDeporte,21March1989,,15M€,5M€,,Hospitalense(1996-1998),,Left,DF(Defender),LaLiga,10.9M€annual,01-07-2012,30-06-2024,Valencia,150M€,,86,68,transfer,,170,,LaLiga,Barcelona,,Spain,82,11,"28,17,11,6",87,L'HospitaletdeLlobregat,,Spain,80,81,,18,,67,,,,Liga Española,,11M€,,Adidas,28-02-2019,91,EuropadelSur,33,Europe
Andreas Christensen,KINPartners,10April1996,,50M€,30M€,,IFSkjoldBirkerød(2000-2004),,Right,DF(Defender),LaLiga,4.2M€annual,01-07-2012,30-06-2026,Chelsea,,,66,57,transfer,,187,,PremierLeague,Barcelona,,Denmark,81,39.1,"6,27,3,15,2,31,32,12,8,13,5",66,Allerød,,Denmark,71,59,,4,,26,,,,Liga Española,,39.1M€,,Adidas,,84,PaísesNórdicos,26,Europe
Ronald Araújo,ExcellenceSport,07March1999,,80M€,60M€,,HuracándeRivera,,Right,DF(Defender),LaLiga,2.2M€annual,09-07-2018,30-06-2026,BarçaAtlètic,,,55,49,transfer,,188,,PrimeraDivisiónRFEF,Barcelona,,Uruguay,81,41.8,"33,2,15,19,30",72,Rivera,,Uruguay,66,46,,4,,37,,,,Liga Española,,41.8M€,,,29-04-2022,84,Sudamérica,23,AmericadelSur
Marcos Alonso,LIANSportsGroup,28December1990,,8M€,9M€,,RealMadrid(1999-2008),,Left,DF(Defender),LaLiga,5M€annual,31-08-2016,30-06-2024,Chelsea,,,73,60,transfer,,188,,PremierLeague,Barcelona,,Spain,78,8.9,"28,17,25,12",65,Madrid,,Spain,76,77,,3,,82,,,,Liga Española,,8.9M€,,Nike,27-01-2023,84,EuropadelSur,32,Europe
Eric García,"Puyol,DelaPeña&Sostres",09January2001,,70M€,18M€,,FCBarcelona(2008–2017),,Right,DF(Defender),LaLiga,2.5M€annual,01-07-2021,30-06-2026,Man.City,,,63,52,transfer,,182,,PremierLeague,Barcelona,,Spain,72,18.6,"24,12,3,4,15,14,2",63,Barcelona,,Spain,70,56,,50,,40,,,,Liga Española,,18.6M€,,,,79,EuropadelSur,22,Europe
Sergi Roberto,TACTICGRUP-OROBITG,07February1992,,2M€,6M€,,UESantesCreus(2000-2004),,Right,DF(Defender),LaLiga,8.3M€annual,01-07-2006,30-06-2023,BarçaAtlètic,500M€,,75,62,transfer,,177,,PrimeraDivisiónRFEF,Barcelona,,Spain,71,6,"28,24,8,10,18,30,17,3",76,Reus,,Spain,70,80,,20,,64,,,,Liga Española,,6M€,,Nike,10-06-2022,83,EuropadelSur,30,Europe
Alejandro Balde,Gestifute,18October2003,,,15M€,,"CESantGabriel,RCDEspanyol",,Left,DF(Defender),LaLiga,193.4k€annual,,30-06-2024,BarçaAtlètic,,,,,transfer,,175,,PrimeraDivisiónRFEF,Barcelona,,Spain,70,13.6,"31,24,14,25,15,5",,Barcelona,,Spain,,,,28,,,,,,Liga Española,,13.6M€,,Nike,,81,EuropadelSur,19,Europe
Chadi Riad,Wasserman,17June2003,,1M€,500k€,,"AtléticoRafal(2009–2011),RCDMallorca(2011–2014),CDSanFrancisco(2014–2015),RCDMallorca(20",,Left,DF(Defender),PrimeraDivisiónRFEF,57.7k€annual,,30-06-2024,Barcelona,,,,,transfer,,186,,LaLiga,BarçaAtlètic,,Spain,57,0.5,"35,28,3,38",,PalmadeMallorca,,Morocco,,,,4,,,,,,Liga Española,,,,,05-07-2022,76,EuropadelSur,19,Europe
Frenkie De Jong,HCMSportsManagement,12May1997,,110M€,50M€,,WillemII(2004-2015),,Right,MID(Midfielder),LaLiga,10.1M€annual,01-07-2019,30-06-2026,Ajax,,,85,65,transfer,,181,,Eredivisie,Barcelona,,Netherlands,84,74.4,"10,9,24,8,7,6,27",81,Arkel,,Netherlands,82,84,,21,,70,,,,Liga Española,,74.4M€,,Nike,20-10-2020,86,EuropaOccidental,25,Europe
Pedri,LEADERBROCK,25November2002,,180M€,100M€,,,,Right,MID(Midfielder),LaLiga,2.3M€annual,01-07-2019,30-06-2026,LasPalmas,,,83,59,transfer,,174,,SecondDivision,Barcelona,,,83,121.3,"8,26,28,21,18,20",81,Tegueste,,Spain,70,74,,16,,58,,,,Liga Española,,121.3M€,,Adidas,14-10-2021,85,,20,
Sergio Busquets,TACTICGRUP-OROBITG,16July1988,,7M€,5M€,,"CDBadiadelVallès(1995–1996),CEFBarberàAndalucía(1996–1999),UELleida(1999–2003)",,Right,MID(Midfielder),LaLiga,11.3M€annual,01-09-2008,30-06-2023,BarçaAtlètic,500M€,,68,63,transfer,,189,,PrimeraDivisiónRFEF,Barcelona,,Spain,82,6.7,"16,28,12",42,Sabadell,,Spain,74,76,,5,,59,,,,Liga Española,,6.7M€,,Nike,27-09-2018,87,EuropadelSur,34,Europe
Franck Kessié,AmbitionGroup,19December1996,04-07-2022,50M€,45M€,33.5M€,StellaClubd'Adjamé(2010-2014),,Right,MID(Midfielder),LaLiga,2.9M€annual,01-07-2019,30-06-2026,Milan,,,74,65,9transfers,,183,,SerieA,Barcelona,,IvoryCoast,77,38,"8,19,10,30,7,11,14,18,4",71,Ouragahio,,IvoryCoast,79,71,,79,,65,,,,Liga Española,,38M€,,Nike,,88,AfricaOccidental,26,Africa
Gavi,"Puyol,DelaPeña&Sostres",05August2004,,160M€,90M€,,,,Right,MID(Midfielder),LaLiga,233.2k€annual,,30-06-2026,BarçaAtlètic,,,74,52,transfer,,173,,PrimeraDivisiónRFEF,Barcelona,,Spain,78,96.4,"9,6,38,10,28",69,Sevilla,,Spain,58,70,,30,,52,,,,Liga Española,,96.4M€,,Nike,14-09-2022,94,EuropadelSur,18,Europe
Pablo Torre,ACTalent,03April2003,,3M€,3M€,,,,Right,MID(Midfielder),LaLiga,295.4k€annual,,30-06-2026,BarçaAtlètic,,,,,transfer,,173,,PrimeraDivisiónRFEF,Barcelona,,Spain,56,2.4,"10,27,20,18",,Santander,,Spain,,,,32,,,,,,Liga Española,,2.4M€,,Adidas,,74,EuropadelSur,19,Europe
Marc Casadó,Wasserman,14September2003,,3M€,,,,,Right,MID(Midfielder),PrimeraDivisiónRFEF,30.2k€annual,,30-06-2024,Barcelona,,,,,transfer,,172,,LaLiga,BarçaAtlètic,,Spain,54,0.3,"6,4,14,26",,SantPeredeVilamajor,,Spain,,,,29,,,,,,Liga Española,,,,,05-07-2022,71,EuropadelSur,19,Europe
Lewandowski,PiniZahavi,21August1988,19-07-2022,40M€,45M€,50.1M€,"KSPPartyzantLeszno(1996-1997),MKSVarsoviaWarschau(1997-2004),KSDeltaWarszawa(2004–2005)",,Right,STR(Striker),LaLiga,16.3M€annual,01-07-2014,30-06-2026,BayernMünchen,,,82,48,6transfers,,185,,Bundesliga,Barcelona,,Poland,94,42.2,"8,7",78,Warsaw,,Poland,83,77,,9,,86,,,,Liga Española,,42.2M€,,Nike,,99,EuropadelEste,34,Europe
Ferran Torres,LEADERBROCK,29February2000,,110M€,35M€,,ValenciaCF(2006-2017),,Right,STR(Striker),LaLiga,4.8M€annual,01-01-2022,30-06-2027,Man.City,100M€,,84,40,transfer,,184,,PremierLeague,Barcelona,,Spain,77,56.8,"20,21,7,19,18,17",84,Foios,,Spain,75,78,,11,,71,,,,Liga Española,,56.8M€,,Adidas,,83,EuropadelSur,22,Europe
Ousmane Dembélé,Miembrodesufamilia,15May1997,,70M€,60M€,,MadeleineÉvreux(2004-2010),,Two-Footed,STR(Striker),LaLiga,12.4M€annual,28-08-2017,30-06-2024,B.Dortmund,400M€,,89,43,transfer,,178,,Bundesliga,Barcelona,,France,79,75.3,"7,23,9,15,18",94,Vernon,,France,69,79,,11,,76,,,,Liga Española,,75.3M€,,Nike,14-07-2022,81,EuropaOccidental,25,Europe
Raphinha,D20Sports,14December1996,,60M€,50M€,,AvaíFC(2014–2015),,Left,STR(Striker),LaLiga,4.7M€annual,05-10-2020,30-06-2027,LeedsUnited,,,86,51,transfer,,176,,PremierLeague,Barcelona,,Brazil,78,45.1,"21,22,7,81,18,10,19",91,PortoAlegre,,Brazil,79,76,,11,,77,,,,Liga Española,,45M€,,Adidas,,82,Sudamérica,26,AmericadelSur
Ansu Fati,Miembrodesufamilia,31October2002,,50M€,50M€,,CDFHerrera(2009-2010),,Right,STR(Striker),LaLiga,3.6M€annual,23-09-2020,30-06-2027,BarçaAtlètic,,,84,38,transfer,,178,,PrimeraDivisiónRFEF,Barcelona,,Guinea-Bissau,66,51.4,"31,22,25,11,12,17,15",89,Bissau,,Spain,70,68,,10,,61,,,,Liga Española,,51.4M€,,Nike,21-10-2021,79,AfricaOccidental,20,Africa
Ángel Alarcón,Miembrodesufamilia,15May2004,,,,,UDVistaAlegre(-2012),,Right,STR(Striker),LaLiga,48.4k€annual,,30-06-2025,BarçaAtlètic,,,,,transfer,,,,PrimeraDivisiónRFEF,Barcelona,,Spain,47,,"38,27,17,11",,Castelldefels,,Spain,,,,39,,,,,,Liga Española,,,,Adidas,,69,EuropadelSur,18,Europe
Pepe Reina,ManuelGarcíaQuilón,31August1982,,1M€,700k€,,"EFMadridOeste,FCBarcelona",80,Right,GOA(Goalkeeper),LaLiga,2.5M€annual,01-09-2020,30-06-2023,Lazio,,79,,,transfer,,188,,SerieA,Villarreal,,Spain,71,0.3,"23,1,13,35,29",,Madrid,,Spain,,,80,25,,,79,,79,Liga Española,,,71,Adidas,,90,EuropadelSur,40,Europe
Filip Jörgensen,GoalManagement,16April2002,,3M€,1.5M€,,GIFNikeLomma,,Right,GOA(Goalkeeper),LaLiga,,,30-06-2025,VillarrealB,,,,,transfer,,189,,SecondDivision,Villarreal,,Sweden,58,1.3,"1,13,16",,Lomma,,Denmark,,,,35,,,,,,Liga Española,,1.3M€,,,12-11-2020,73,PaísesNórdicos,20,Europe
Iker Álvarez,Promoesport,25July2001,,,,,"Interd'Escaldes,ENFAF,FCAndorra,GimnàsticdeManresa(-2017),CDRoda(2017-2020)",,Right,GOA(Goalkeeper),LaLiga,,,30-06-2023,VillarrealB,,,,,transfer,,190,,SecondDivision,Villarreal,,Andorra,58,0.9,"31,13,1,25",,AndorralaVella,,Andorra,,,,12,,,,,,Liga Española,,895k€,,,,71,EuropadelSur,21,Europe
Raúl Albiol,FootballCapital,04September1985,,2M€,3M€,,,,Right,DF(Defender),LaLiga,2.5M€annual,04-07-2019,30-06-2023,Napoli,,,58,57,transfer,,190,,SerieA,Villarreal,,Spain,85,1,"3,18,2,4,20,15,16,27",46,Vilamarxant,,Spain,69,60,,33,,49,,,,Liga Española,,1M€,,,12-11-2021,87,EuropadelSur,37,Europe
Pau Torres,InterStarDeporte,16January1997,,40M€,50M€,,,,Left,DF(Defender),LaLiga,2.6M€annual,01-07-2018,30-06-2024,Málaga,,,70,57,transfer,,191,,SecondDivision,Villarreal,,Spain,85,54.6,"5,30,3,2,6,47",68,Vila-real,,Spain,76,64,,4,,42,,,,Liga Española,,54.6M€,,,02-10-2019,89,EuropadelSur,26,Europe
Alfonso Pedraza,,09April1996,,,,,,,Left,DF(Defender),LaLiga,,,,RealBetis,,,77,60,,12,182,23years,LaLiga,Villarreal,19years,Spain,79,13.4,"17,16,28,6,29,61",79,SanSebastiándelosBallesteros,18,Spain,76,71,,24,2,68,,24/03/2016,,Liga Española,30/06/2019,,,,,82,EuropadelSur,26,Europe
Juan Foyth,Primotempo,12January1998,,20M€,25M€,,,,Right,DF(Defender),LaLiga,2.1M€annual,04-10-2020,30-06-2026,TottenhamHotspur,,,71,58,transfer,,187,,PremierLeague,Villarreal,,Argentina,76,20.7,"21,2,29,13,6",68,LaPlata,,Argentina,73,66,,8,,49,,,,Liga Española,,20.6M€,,Adidas,,80,Sudamérica,25,AmericadelSur
Mandi,Wasserman,22October1991,,7M€,4M€,,,,Right,DF(Defender),LaLiga,1.7M€annual,01-07-2016,30-06-2025,RealBetis,,,71,63,transfer,,184,,LaLiga,Villarreal,,France,73,6.6,"2,22,20,33,26",68,Châlons-en-Champagne,,Algeria,75,74,,23,,53,,,,Liga Española,,6.6M€,,,,84,EuropaOccidental,31,Europe
Johan Mojica,LFSportManagement,21August1992,,6M€,5M€,,AcademiaFútbolClub(-2012),,Left,DF(Defender),LaLiga,634.9k€annual,08-08-2021,30-06-2026,Elche,,,77,57,transfer,,179,,LaLiga,Villarreal,,Colombia,73,6.9,"12,26,22,17,25",90,Cali,,Colombia,71,71,,3,,64,,,,Liga Española,,6.9M€,,Nike,,78,Sudamérica,30,AmericadelSur
Jorge Cuenca,InterStarDeporte,17November1999,,10M€,6M€,,,,Left,DF(Defender),LaLiga,658.3k€annual,22-09-2020,30-06-2025,Getafe,,,50,49,transfer,,189,,LaLiga,Villarreal,,Spain,71,10.2,"24,15,3,33,42,43,28,26",56,Madrid,,Spain,64,50,,5,,35,,,,Liga Española,,10.2M€,,Nike,,78,EuropadelSur,23,Europe
Alberto Moreno,,05July1992,09-07-2019,3M€,5M€,18M€,,,Left,DF(Defender),LaLiga,1.3M€annual,09-07-2019,30-06-2024,Liverpool,,,78,62,4transfers,,171,,PremierLeague,Villarreal,,Spain,71,4.6,"16,35,14,36,3",82,Sevilla,,Spain,75,68,,18,,60,,,,Liga Española,,4.6M€,,Adidas,,84,EuropadelSur,30,Europe
Kiko Femenía,GoalManagement,02February1991,,2M€,2.5M€,,C.D.Denía,,Two-Footed,DF(Defender),LaLiga,1M€annual,01-07-2017,30-06-2025,Watford,,,75,61,transfer,,171,,Championship,Villarreal,,Spain,70,3.1,"15,2,7,9",75,SanetyNegrals,,Spain,71,69,,21,,59,,,,Liga Española,,3.1M€,,,,77,EuropadelSur,32,Europe
Mamadou Fall,,21November2002,,,2.5M€,,,,Right,DF(Defender),SecondDivision,,,31-12-2023,Villarreal,,,,,transfer,,188,,LaLiga,VillarrealB,,Senegal,63,3.8,"33,23",,Rufisque,,Senegal,,,,5,,,,,,Liga Española,,3.8M€,,,,77,AfricaOccidental,20,Africa
Parejo,ACTalent,16April1989,,7M€,7M€,,"C.D.Coslada(1998-2000),U.D.Espinilla(2000-2003)",,Right,MID(Midfielder),LaLiga,3.3M€annual,12-08-2020,30-06-2024,Valencia,50M€,,71,62,transfer,,182,,LaLiga,Villarreal,,Spain,84,8,"21,5,11,17,7,15",51,Coslada,,Spain,68,89,,10,,84,,,,Liga Española,,8M€,,,,89,EuropadelSur,33,Europe
Étienne Capoue,WorldSoccerStarGMBH,11July1988,,5M€,3M€,,"ChamoisNiort(1995-2002),FCChauray(2002-2004),SCOAngers(2004-2005),ToulouseFC(2005-2007)",,Right,MID(Midfielder),LaLiga,1.5M€annual,04-01-2021,30-06-2024,Watford,,,60,62,transfer,,189,,Championship,Villarreal,,France,81,3.3,"6,15,25,33,4,8,20",51,Niort,,France,68,74,,29,,72,,,,Liga Española,,3.3M€,,,20-07-2022,85,EuropaOccidental,34,Europe
Lo Celso,,09April1996,,,,,RosarioCentral(2010–2015),,Left,MID(Midfielder),LaLiga,,,,TottenhamHotspur,,,82,61,,7,177,26years,PremierLeague,Villarreal,21years,Argentina,80,24,"20,17,21,10,34,14",77,Rosario,48,Argentina,75,82,,18,34,78,,11/11/2017,,Liga Española,28/09/2022,,,,,83,Sudamérica,26,AmericadelSur
Manu Trigueros,,17October1991,,6M€,6M€,,,,Right,MID(Midfielder),LaLiga,1.8M€annual,01-07-2012,30-06-2025,Leganés,,,71,59,transfer,,178,,SecondDivision,Villarreal,,Spain,75,7.7,52,55,TalaveradelaReina,,Spain,71,78,,14,,73,,,,Liga Española,,7.6M€,,,11-11-2021,83,EuropadelSur,31,Europe
Francis Coquelin,OneTeamFootball,13May1991,,3M€,5M€,,,,Right,MID(Midfielder),LaLiga,2.8M€annual,12-08-2020,30-06-2024,Valencia,80M€,,78,67,transfer,,177,,LaLiga,Villarreal,,France,74,7.4,"19,17,22,35,8,39,20,13,4,12",73,Laval,,France,80,75,,34,,61,,,,Liga Española,,7.3M€,,Nike,,78,EuropaOccidental,31,Europe
Álex Baena,ICMStellarSports,20July2001,30-06-2022,25M€,3M€,,,,Right,MID(Midfielder),LaLiga,545.5k€annual,01-07-2019,30-06-2028,Girona,,,,,6transfers,,174,,LaLiga,Villarreal,,Spain,75,8.2,"16,8,7,17,11,30,18",,RoquetasdeMar,,Spain,,,,32,,,,,,Liga Española,,8.2M€,,,,82,EuropadelSur,21,Europe
A. Del Moral,InterStarDeporte,20July2000,,,500k€,,,,Right,MID(Midfielder),SecondDivision,,01-07-2020,30-06-2024,Villarreal,,,,,transfer,,185,,LaLiga,VillarrealB,,Spain,65,0.8,"8,26,31,28",,Villacañas,,Spain,,,,6,,,,,,Liga Española,,759k€,,,,73,EuropadelSur,22,Europe
C. Adriano,Promoesport,12February2001,,,,,,,Right,MID(Midfielder),SecondDivision,142.5k€annual,01-08-2020,30-06-2026,Villarreal,,,,,transfer,,181,,LaLiga,VillarrealB,,Spain,63,1.3,"10,18,38,8",,Vila-real,,Spain,,,,28,,,,,,Liga Española,,1.3M€,,,21-11-2022,74,EuropadelSur,21,Europe
Ramón Terrats,MagicPlayers,18October2000,,6M€,1.5M€,,,,Left,MID(Midfielder),LaLiga,183.6k€annual,,30-06-2024,VillarrealB,,,,,transfer,,3.3,,SecondDivision,Villarreal,,Spain,57,,"27,8,39,16",,Barcelona,,Spain,,,,21,,,,,,Liga Española,,3.3M€,,,,68,EuropadelSur,22,Europe
Gerard Moreno,YOUFIRST,07April1992,,20M€,35M€,,,,Left,STR(Striker),LaLiga,3.3M€annual,01-07-2018,30-06-2027,Espanyol,,,82,47,transfer,,180,,LaLiga,Villarreal,,Spain,82,36,"23,9,32,19",79,SantaPerpètuadeMogoda,,Spain,79,77,,7,,76,,,,Liga Española,,36M€,,,09-08-2021,90,EuropadelSur,30,Europe
Samu Chukwueze,10Management,22May1999,,35M€,20M€,,,,Left,STR(Striker),LaLiga,1.3M€annual,01-11-2018,30-06-2024,VillarrealB,63M€,,87,43,transfer,,172,,SecondDivision,Villarreal,,Nigeria,77,29.3,"30,17,13,8,15",89,Umuahia,,Nigeria,72,67,,11,,70,,,,Liga Española,,29.3M€,,,,82,AfricaOccidental,23,Africa
Yeremy,CAAStellar,20October2002,,50M€,38M€,,"BarrioAtlántico,ADHuracán(2011-2014),LasPalmas(2014-2017)",,Right,STR(Striker),LaLiga,1M€annual,,30-06-2027,VillarrealB,,,,,transfer,,172,,SecondDivision,Villarreal,,Spain,75,50.8,"7,30,17,29,15,20,22,10",,LasPalmasdeGranCanaria,,Spain,,,,21,,,,,,Liga Española,,50.8M€,,,15-11-2021,83,EuropadelSur,20,Europe
Morales,ABADSPORT,23July1987,,3M€,4M€,,Desconocido:ADCBruneteJuvenil,,Right,STR(Striker),LaLiga,1.7M€annual,01-07-2013,30-06-2024,Levante,30M€,,84,54,transfer,,180,,SecondDivision,Villarreal,,Spain,73,2.3,"22,19",86,Madrid,,Spain,73,76,,11,,79,,,,Liga Española,,2.3M€,,,,82,EuropadelSur,35,Europe
Nicolas Jackson,,20June2001,,,,,,,Right,STR(Striker),LaLiga,,,,VillarrealB,,,,,,1,186,21years,SecondDivision,Villarreal,21years,Gambia,70,2.3,"26,18,22,7",,Banjul,6,Senegal,,,,15,,,,24/09/2022,,Liga Española,04/12/2022,,,,,79,AfricaOccidental,21,Africa
Fer Niño,YOUFIRST,24October2000,,,3M€,,CDRota(2011-2013),,Right,STR(Striker),LaLiga,562.1k€annual,31-01-2020,30-06-2024,VillarrealB,,,67,38,transfer,,190,,SecondDivision,Villarreal,,Spain,64,5.1,"11,26,27,19,9",67,PalmadeMallorca,,Spain,70,56,,34,,58,,,,Liga Española,,5.1M€,,,,73,EuropadelSur,22,Europe
Diego Collado,LEADERBROCK,09January2001,,,,,,,Right,STR(Striker),LaLiga,67.6k€annual,01-07-2019,30-06-2025,VillarrealB,,,,,transfer,,0.6,,SecondDivision,Villarreal,,Spain,63,,"16,27",,Granada,,Spain,,,,7,,,,,,Liga Española,,625k€,,,02-08-2022,72,EuropadelSur,22,Europe
Sergio Herrera,YOUFIRST,05June1993,,6M€,8M€,,,73,Right,GOA(Goalkeeper),LaLiga,941.7k€annual,12-07-2017,30-06-2026,Huesca,,76,,,transfer,,192,,SecondDivision,Osasuna,,Spain,73,6.5,,,MirandadeEbro,,Spain,,,73,1,,,80,,77,Liga Española,,6.5M€,56,,08-12-2021,79,EuropadelSur,29,Europe
Aitor Fernández,SportsandManagement,03May1991,,2M€,2.5M€,,,70,Right,GOA(Goalkeeper),LaLiga,1.3M€annual,02-07-2022,30-06-2025,Levante,,78,,,transfer,,182,,SecondDivision,Osasuna,,Spain,67,2.8,"25,1,31,35,51,30",,Arrasate/Mondragón,,Spain,,,81,13,,,82,,83,Liga Española,,2.8M€,80,,,76,EuropadelSur,31,Europe
Darío Ramos,,19October1999,,,,,UDBalsasPicarral(2007-2009),,Left,GOA(Goalkeeper),PrimeraDivisiónRFEF,,,,Osasuna,,,,,,,191,,LaLiga,OsasunaPromesas,,Spain,53,0.2,"25,36,40,26",,Valencia,,Spain,,,,13,,,,,,Liga Española,,,,,,63,EuropadelSur,23,Europe
David García,YOUFIRST,14February1994,,10M€,20M€,,,,Right,DF(Defender),LaLiga,1.1M€annual,01-01-2015,30-06-2026,CulturalLeonesa,,,59,57,transfer,,185,,PrimeraDivisiónRFEF,Osasuna,,Spain,79,18.4,"14,28",55,Íbero,,Spain,69,58,,5,,36,,,,Liga Española,,18.3M€,,Nike,03-05-2021,81,EuropadelSur,28,Europe
Nacho Vidal,,24January1995,,,,,,,Right,DF(Defender),LaLiga,,,,Valencia,,,71,59,,,180,,LaLiga,Osasuna,,Spain,74,5.3,"30,32",77,Campello,,Spain,68,70,,2,,50,,,,Liga Española,,,,,,78,EuropadelSur,28,Europe
Juan Cruz,Roalza,28July1992,,3M€,2.5M€,,,,Left,DF(Defender),LaLiga,221.5k€annual,30-08-2020,30-06-2026,Elche,,,,,transfer,,180,,LaLiga,Osasuna,,Spain,72,3.7,"23,2,11",,Madrid,,Spain,,,,3,,,,,,Liga Española,,3.7M€,,Puma,13-12-2022,76,EuropadelSur,30,Europe
Manu Sánchez,,24August2000,,10M€,10M€,,,,Left,DF(Defender),LaLiga,550.2k€annual,07-09-2020,30-06-2027,Atlético,,,70,57,transfer,,179,,LaLiga,Osasuna,,Spain,71,12.8,"39,35,20,54,22,17",73,Madrid,,Spain,65,59,,3,,43,,,,Liga Española,,12.8M€,,,,79,EuropadelSur,22,Europe
Unai García,GLOBALASES,03February1992,,2M€,2.5M€,,,,Right,DF(Defender),LaLiga,749.9k€annual,01-07-2015,30-06-2025,OsasunaPromesas,,,57,54,transfer,,182,,PrimeraDivisiónRFEF,Osasuna,,Spain,70,3.5,"15,27,35",63,Esquíroz,,Spain,71,53,,4,,38,,,,Liga Española,,3.5M€,,,07-12-2022,75,EuropadelSur,31,Europe
Aridane,IdentitySports,23March1989,,1M€,1M€,,,,Right,DF(Defender),LaLiga,1.2M€annual,17-07-2017,30-06-2023,Cádiz,,,57,53,transfer,,186,,LaLiga,Osasuna,,Spain,67,1.6,4,59,Tuineje,,Spain,79,52,,23,,46,,,,Liga Española,,1.6M€,,,20-07-2020,76,EuropadelSur,33,Europe
Rubén Peña,,18July1991,,,,,,,Right,DF(Defender),LaLiga,,,,Villarreal,,,78,64,,,170,,LaLiga,Osasuna,,Spain,66,2.3,"11,15,28",80,Ávila,,Spain,73,69,,20,,64,,,,Liga Española,,,,,,76,EuropadelSur,31,Europe
J. Herrando,IDUBGLOBAL,28February2001,,,,,,,Left,DF(Defender),PrimeraDivisiónRFEF,81.1k€annual,15-07-2021,30-06-2024,Osasuna,,,,,transfer,,192,,LaLiga,OsasunaPromesas,,Spain,60,0.4,"31,3,15",,Pamplona,,Spain,,,,5,,,,,,Liga Española,,,,,,72,EuropadelSur,21,Europe
Diego Moreno,Wasserman,21June2001,,,,,,,Right,DF(Defender),LaLiga,,,30-06-2024,OsasunaPromesas,,,,,transfer,,177,,PrimeraDivisiónRFEF,Osasuna,,Spain,59,0.2,"2,17,30",,Cintruénigo,,Spain,,,,35,,,,,,Liga Española,,,,,24-03-2021,71,EuropadelSur,21,Europe
Lucas Torró,ToldraConsultingS.L.,19July1994,,6M€,7M€,,"CDContestano(2002–2003),OntinyentCF(2003-2005),HérculesCFAlicante(2005-2007),CDAlcoyano(",,Right,MID(Midfielder),LaLiga,777.4k€annual,04-08-2020,30-06-2027,EintrachtFrankfurt,,,64,52,transfer,,190,,Bundesliga,Osasuna,,Spain,74,11.1,"24,6,35,14,15,26,29",44,Cocentaina,,Spain,67,64,,16,,60,,,,Liga Española,,11.1M€,,Adidas,09-06-2022,77,EuropadelSur,28,Europe
Jon Moncayola,,13May1998,,15M€,12M€,,,,Right,MID(Midfielder),LaLiga,1M€annual,01-07-2019,30-06-2031,OsasunaPromesas,,,69,59,transfer,,175,,PrimeraDivisiónRFEF,Osasuna,,Spain,75,13.3,"27,15,33,20",68,Garínoain,,Spain,66,70,,7,,57,,,,Liga Española,,13.3M€,,,08-06-2021,79,EuropadelSur,24,Europe
